Colon;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;55.2[50.6-60.3]*;48.7[43.2-54.8]*;60.7[56.3-65.3]*;62.0[58.7-65.5]*;73.3[69.7-77.1]*;67.1[62.8-71.8]*;78.6[74.6-82.8];80.1[77.6-82.7]*
1976-1980;65.2[61.3-69.3];61.4[56.6-66.7]*;66.7[62.8-70.7]*;72.3[69.5-75.2]*;77.5[74.6-80.5]*;73.8[70.2-77.6]*;81.7[78.9-84.6];83.8[81.7-85.9]
1981-1985;67.0[63.4-70.7];68.4[64.2-72.8]*;71.3[68.0-74.8];75.4[73.1-77.7]*;83.0[80.5-85.5];81.8[78.9-84.8]*;83.5[81.1-85.9]*;85.2[83.4-87.0]*
1986-1990;70.1[67.1-73.3]*;78.7[75.3-82.2];74.0[71.3-76.8]*;80.0[78.2-82.0]*;83.8[81.6-86.0]*;85.0[82.3-87.7];88.7[86.8-90.7];89.3[87.9-90.8]
1991-1995;77.3[74.7-80.0]*;76.7[73.6-79.8]*;78.3[76.0-80.7];83.6[82.0-85.3];87.9[86.0-89.8]*;84.7[82.2-87.2]*;89.0[87.3-90.8];90.4[89.1-91.7]*
1996-2000;80.7[78.3-83.2];82.0[79.4-84.7];78.2[76.1-80.4];84.3[82.8-85.8];90.4[88.6-92.2];88.3[86.3-90.5];90.4[88.8-92.0];90.9[89.7-92.1]
2001-2005;83.2[81.2-85.2]*;82.2[79.9-84.5]*;79.3[77.4-81.3];84.5[83.2-85.8]*;91.0[89.5-92.4]*;88.6[86.8-90.5];88.5[86.9-90.0];90.2[89.1-91.3]*
2006-2010;87.9[86.4-89.3]*;85.3[83.5-87.1]*;80.9[79.2-82.6]*;86.7[85.6-87.8]*;92.9[91.7-94.1]*;90.3[88.8-91.7]*;89.6[88.3-90.9]*;92.4[91.5-93.3]*
2011-2015;92.8[91.7-94.0]*;88.0[86.6-89.5]*;87.6[86.3-88.8]*;91.2[90.3-92.1]*;95.9[95.0-96.7]*;95.0[94.0-96.1];94.0[93.1-95.0]*;94.6[93.9-95.3]*
2016-2020;95.2[94.3-96.2];91.5[90.3-92.8];91.5[90.5-92.6];93.5[92.7-94.2];97.2[96.4-98.0];95.3[94.3-96.3];96.0[95.2-96.8];95.8[95.2-96.4]
